Instituição,Turmas,Bolsas,Mensalidade (média)
Faculdade da Alta Paulista - FAP,7,18,822.9714286
Faculdade de Filosofia Ciências e Letras de Ituverava - FFCL,7,69,1078.844286
Faculdade de Mirassol,7,105,707.4
Faculdade de Suzano - UNISUZ,7,126,670.2428571
Faculdade de Tecnologia de Jacareí - ETEP,7,19,531.8571429
Faculdade de Tecnologia Ibta - São José dos Campos - IBTA,7,24,533.2857143
Faculdade de Tecnologia Ipanema,7,92,1166.857143
Faculdade Flamingo,7,13,438.7142857
Faculdade Marechal Rondon - FMR,7,63,597
Faculdade Paschoal Dantas - FPD,7,66,769.38
Faculdade Peruibe - FPBE,7,37,758.2857143
Faculdade São Bernardo de Tecnologia,7,28,475.1357143
Faculdades Integradas de Itararé - FAFIT-FACIC,7,19,825.25
Centro Universitário Lusíada - UNILUS,8,86,1458.20125
Faculdade Aliança Educacional do Estado de São Paulo,8,48,300
Faculdade Anhanguera de Osasco,8,28,680.5
Faculdade Barretos - FB,8,65,918.015
Faculdade Campos Elíseos - FCE,8,68,350
Faculdade de Botucatu - FDB,8,63,500.75
Faculdade Diadema - FAD,8,114,694.6875
Faculdade Esamc Jundiaí - ESAMC,8,364,790
Faculdade Salesiana Dom Bosco de Piracicaba - FSDB,8,27,723.625
Faculdade São Sebastião,8,48,645.7025
Faculdades Integradas de Araraquara - FIAR,8,37,775.5875
Faculdades Integradas Padre Albino - FIPA,8,210,1460.58125
Universidade Universus Veritas Guarulhos - Univeritas UNG,8,90,839.625
Faculdade de Administração e Artes de Limeira - FAAL,9,83,620.9
Faculdade de Presidente Venceslau - FAPREV,9,109,585
Faculdade de Ribeirão Pires,9,149,574.4
Faculdade de São Bernardo do Campo - Fasb - FASB I,9,110,666.7777778
Faculdade de Taquaritinga - FTGA,9,150,761.8
Faculdade Paulista de Pesquisa e Ensino Superior - FAPPES,9,44,572.2222222
"Faculdades Integradas de Ciências Humanas, Saúde e Educação de Guarulhos - FG",9,91,459.2222222
Universidade Católica de Santos - UNISANTOS,9,33,1423.777778
Centro Universitário Fundação de Ensino Octávio Bastos - Feob - Unifeob - UNIFEOB,10,40,1098.98
Faculdade Anhangüera de Piracicaba,10,42,827
Faculdade Anhangüera de Ribeirão Preto,10,49,725
Faculdade Anhanguera de Sumaré - FACSUMARÉ,10,38,846
Faculdade de Engenharia de Sorocaba - FACENS,10,62,1326.2
Faculdade de Mauá - Fama - FAMA,10,90,679.5
Faculdade de Santo André,10,99,626.31
Faculdade Faccat - FACCAT,10,73,809.8
Faculdade Impacta de Tecnologia - FIT,10,954,826.602
Faculdade Mundial,10,281,898.614
Centro Universitário Anhangüera - Unifian - UNIFIAN,11,61,915.2727273
Centro Universitário Eurípedes de Marília - Univem - UNIVEM,11,86,932.9863636
Faculdade Anhanguera de Santa Bárbara,11,46,741.6363636
Faculdade Birigui - FABI,11,138,628.1181818
Faculdade de Ensino Superior do Interior Paulista - FAIP,11,74,866.3727273
Faculdade Politécnica de Campinas - POLICAMP,11,150,801.3181818
Centro Universitário Claretiano - Ceuclar - CEUCLAR,12,59,548.4
Centro Universitário de Bauru,12,105,899.5508333
Centro Universitário Teresa D'Ávila - FATEA,12,97,986.2583333
Escola Superior de Tecnologia e Educação de Rio Claro - ESRC,12,48,636.6666667
Faculdade Anhanguera de Jacareí,12,76,898.8333333
Faculdade Anhanguera de Jundiaí,12,32,738
Faculdade Anhanguera de Limeira,12,56,668.8333333
Faculdade de Ribeirão Preto - AFARP,12,160,675.15
Faculdades Integradas Campos Salles - FICS,12,872,768.285
Instituto de Ensino Superior de Bauru - IESB,12,180,598.125
Centro Universitário Álvares Penteado - Fecap - FECAP,13,312,1375.153846
Faculdade Anhangüera de Bauru,13,73,847.2307692
Faculdade Paulista de Artes - FPA,13,168,1035.217692
Faculdade Santa Marcelina - FASM,13,39,2023.923077
Faculdade Anhanguera de Taboão da Serra - FATS,14,71,593.7142857
Faculdade Seqüencial,14,385,528.1314286
Faculdades Integradas de Jahu - FIJ,14,30,875.0571429
Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros - Fei - FEI,15,351,2034.647059
Claretiano - Faculdade - Claretianorc - CLARETIANORC,15,86,1103.016
Faculdade de Ciências Sociais e Agrárias de Itapeva - FAIT,15,116,1011.333333
Faculdade de Educação São Luís - FESL,15,211,900.8466667
Faculdade de Presidente Prudente - FAPEPE,15,189,704.82
Centro Universitário Anhanguera de Santo André - Unia - UNIA,16,63,674.875
Faculdade Anhangüera de São José,16,127,932.375
Fiam-Faam - Centro Universitário - UNIFIAM-FAAM,16,83,803.1875
Centro Universitário Amparense - Unifia - UNIFIA,17,42,776.7647059
Centro Universitário Unifafibe - FAFIBE,17,54,642.0476471
Faculdade Metrocamp,17,478,1221.414706
Faculdade Nossa Cidade - FNC,17,68,655.7135294
Faculdade de Paulínia - FACP,18,63,623.2466667
Faculdade de São Paulo - FASP,18,218,656.465
Faculdade Esamc São Paulo - Esamc - ESAMC,18,927,790
Faculdade Paulus de Tecnologia e Comunicação - FAPCOM,18,800,1358
Centro Universitário Barão de Mauá - Cbm - CBM,19,66,1372.354211
Centro Universitário São Camilo - SAO CAMILO,19,109,1475.931579
Faculdades Integradas Einstein de Limeira - FIEL,19,112,1052.257368
Centro Universitário de Rio Preto - Unirp - UNIRP,20,156,900.65
Centro Universitário Moura Lacerda - CUML,20,89,928.973
Centro Universitário Toledo - UNITOLEDO,20,58,783.0205
Faculdade de São VIcente - FSV,20,146,363.65
Faculdade Max Planck - FMP,20,168,1013.04
Instituto de Ensino Superior de Americana - IESA,20,60,395.5825
União das Faculdades dos Grandes Lagos - UNILAGO,20,23,949.5
Centro Universitário Módulo - MÓDULO,21,107,685.4038095
Faculdade de Tecnologia de São José dos Campos - ETEP,21,56,621.3809524
Faculdade Sudoeste Paulista - FSP,21,83,844.3333333
Faculdades Atibaia - FAAT,21,108,569.6190476
Faculdades Integradas de Bauru - FIB,21,91,1261.39381
Universidade de Marília - UNIMAR,21,262,1527.115238
Centro Universitário Monte Serrat - UNIMONTE,22,218,1002.545455
Faculdade Esamc Sorocaba - ESAMC,22,235,1041.409091
Centro Universitário de Lins - Unilins - UNILINS,23,460,1139.539565
Faculdade Carlos Drummond de Andrade - FCDA,24,140,911.1629167
Faculdades Integradas do Vale do Ribeira - FIVR,24,167,811.375
Faculdades Integradas de Fernandópolis - FIFE,25,110,777.1808
Universidade Braz Cubas - UBC,25,203,1009.48
Centro Universitário de Jaguariúna - Faj - FAJ,26,264,1122.046154
Centro Universitário Padre Anchieta - UNIANCHIETA,26,168,915.8938462
Universidade do Sagrado Coração - USC,26,247,1091.326154
Faculdade de Informática e Administração Paulista - FIAP,27,302,1398.518519
Centro Universitário Adventista de São Paulo - Unasp - UNASP,28,106,912.5357143
Centro Universitário da Fundação Educacional de Barretos - Unifeb - UNIFEB,28,872,1069.739643
Faculdade de Tecnologia e Negócios Carlos Drummond de Andrade,28,73,866.3567857
Centro Universitário Católico Salesiano Auxilium - Unisalesiano - UNISALESIANO,29,131,855.8462069
Faculdade Campo Limpo Paulista - FACCAMP,29,89,671.0489655
Faculdade de Americana - FAM,29,111,785.3793103
Faculdade Anhanguera de Guarulhos,30,231,657.3333333
Centro Universitário Central Paulista - Unicep - UNICEP,31,166,955.3225806
Centro Universitário Eniac - Eniac - ENIAC,31,123,849.62
Instituto de Ensino Superior de Itapira - IESI,32,94,518.0359375
Universidade Santa Cecília - UNISANTA,32,154,1372.0625
Faculdade Eniac - ENIAC,33,159,849.62
Instituto Itapetiningano de Ensino Superior - IIES,33,113,535.6154545
Pontifícia Universidade Católica de São Paulo - PUCSP,33,300,2405.936364
Instituto Taubaté de Ensino Superior - I.T.E.S.,34,111,543.1123529
Centro Universitário Herminio Ometto - Uniararas - UNIARARAS,35,1265,1423.320571
Faculdade Anhangüera de Campinas,35,251,892
Centro Universitário Estácio de São Paulo - Estácio São Paulo - ESTÁCIO SÃO PAULO,39,167,672.5651282
Universidade Ibirapuera - UNIB,40,3825,1390.60525
Universidade de Ribeirão Preto - UNAERP,41,439,1367.807561
Centro Universitário Senac - SENACSP,43,379,1214.534884
Faculdade Integrada Metropolitana de Campinas - METROCAMP,44,1247,1524.600444
Universidade de Araraquara - UNIARA,44,118,1014.563636
Universidade do Vale do Paraíba - UNIVAP,44,215,1300.880682
Faculdade de Tecnologia Carlos Drummond de Andrade - CSET DRUMMOND,45,169,883.7477778
Universidade Presbiteriana Mackenzie - MACKENZIE,46,482,1989.630435
Faculdade Sumaré - ISES,48,221,431.9625
Universidade Brasil,50,417,1041.858
Centro Universitário Anhanguera de São Paulo,52,248,615.6923077
Universidade Anhembi Morumbi - UAM,52,177,1435.769231
Centro Universitário Salesiano de São Paulo - UNISAL,54,298,956.6851852
Universidade São Francisco - USF,55,564,1004.652545
Pontifícia Universidade Católica de Campinas - PUC-CAMPINAS,56,643,1888.017857
Faculdade Esamc Campinas - ESAMC,58,1776,824.8318966
Universidade de Franca - UNIFRAN,59,441,1095.525593
Centro Universitário Nossa Senhora do Patrocínio - CEUNSP,61,334,614.587377
Faculdade Esamc Santos - ESAMC,63,1574,718.7785714
Universidade do Oeste Paulista - UNOESTE,63,655,1226.46873
Universidade Anhanguera de São Paulo - UNIAN - SP,64,492,768.9375
Centro Universitário das Faculdades Metropolitanas Unidas - Fmu - FMU,69,384,705.4637681
Universidade Cidade de São Paulo - UNICID,71,948,785.3497183
Universidade de Sorocaba - UNISO,95,168,949.4842105
Universidade de Mogi das Cruzes - UMC,100,1237,1154.8426
Universidade São Judas Tadeu - USJT,106,108,1661.650943
Faculdade das Américas - FAM,117,1146,672.1016949
Universidade Cruzeiro do Sul - UNICSUL,119,1104,745.0976471
Universidade Nove de Julho - UNINOVE,412,2690,551.9150485
Universidade Paulista - UNIP,1078,4991,734.4305844
