Código TSE,Nome,IDH,IDH (categoria),Vencedor,Categoria,PSL (% de votos válidos),PSL (votos),PT (% de votos válidos),PT (votos),Total de votos válidos
10804,Guaribas,0.508,Baixo,PT,Baixo PT,2.01,59,97.99,2879,2938
10707,Capitão Gervásio Oliveira,0.553,Baixo,PT,Baixo PT,4.34,121,95.66,2667,2788
23167,Carnaubeira da Penha,0.573,Baixo,PT,Baixo PT,4.77,371,95.23,7402,7773
10081,Bonfim do Piauí,0.542,Baixo,PT,Baixo PT,5.23,179,94.77,3241,3420
10260,Fartura do Piauí,0.548,Baixo,PT,Baixo PT,5.28,166,94.72,2978,3144
10502,São Braz do Piauí,0.596,,PT, PT,5.56,160,94.44,2720,2880
10626,Bela Vista do Piauí,0.576,Baixo,PT,Baixo PT,5.61,155,94.39,2607,2762
10243,Coronel José Dias,0.546,Baixo,PT,Baixo PT,5.94,209,94.06,3312,3521
27022,Pariconha,0.548,Baixo,PT,Baixo PT,6.08,374,93.92,5777,6151
10979,Isaías Coelho,0.582,Baixo,PT,Baixo PT,6.15,278,93.85,4246,4524
10960,Nova Santa Rita,0.554,Baixo,PT,Baixo PT,6.28,180,93.72,2685,2865
12467,Massapê do Piauí,0.525,Baixo,PT,Baixo PT,6.33,259,93.67,3833,4092
7161,Belágua,0.512,Baixo,PT,Baixo PT,6.34,295,93.66,4358,4653
8524,Serrano do Maranhão,0.519,Baixo,PT,Baixo PT,6.36,322,93.64,4743,5065
28150,Olho D’água do Casado,0.525,Baixo,PT,Baixo PT,6.63,319,93.37,4494,4813
12289,Pavussu,0.526,Baixo,PT,Baixo PT,6.67,176,93.33,2462,2638
10413,Campinas do Piauí,0.544,Baixo,PT,Baixo PT,6.84,250,93.16,3405,3655
36714,Jussara,0.571,Baixo,PT,Baixo PT,6.89,592,93.11,7998,8590
12122,Betânia do Piauí,0.489,Baixo,PT,Baixo PT,6.93,275,93.07,3696,3971
24392,Inajá,0.523,Baixo,PT,Baixo PT,7.00,682,93.00,9057,9739
19798,Camalaú,0.567,Baixo,PT,Baixo PT,7.01,297,92.99,3939,4236
12181,Curral Novo do Piauí,0.527,Baixo,PT,Baixo PT,7.04,220,92.96,2907,3127
12351,Campo Alegre do Fidalgo,0.537,Baixo,PT,Baixo PT,7.13,233,92.87,3034,3267
12297,Dirceu Arcoverde,0.561,Baixo,PT,Baixo PT,7.19,305,92.81,3935,4240
23000,Quixaba,0.577,Baixo,PT,Baixo PT,7.31,329,92.69,4169,4498
12602,Ribeira do Piauí,0.520,Baixo,PT,Baixo PT,7.47,187,92.53,2315,2502
16187,Venha-ver,0.555,Baixo,PT,Baixo PT,7.55,181,92.45,2217,2398
23248,Manari,0.487,Baixo,PT,Baixo PT,7.59,681,92.41,8297,8978
35890,Iraquara,0.599,,PT, PT,7.62,968,92.38,11729,12697
26034,Terra Nova,0.599,,PT, PT,7.68,469,92.32,5641,6110
12556,Vera Mendes,0.503,Baixo,PT,Baixo PT,7.70,187,92.30,2243,2430
19569,Santa Inês,0.572,Baixo,PT,Baixo PT,7.74,190,92.26,2265,2455
10561,São Lourenço do Piauí,0.595,,PT, PT,7.81,274,92.19,3233,3507
7455,Cajapió,0.553,Baixo,PT,Baixo PT,7.85,422,92.15,4956,5378
27014,Água Branca,0.549,Baixo,PT,Baixo PT,7.86,812,92.14,9520,10332
7420,Central do Maranhão,0.585,,PT, PT,7.86,313,92.14,3669,3982
33260,Andorinha,0.588,,PT, PT,7.92,717,92.08,8339,9056
12360,Cocal de Telha,0.555,Baixo,PT,Baixo PT,7.95,245,92.05,2836,3081
33812,Boquira,0.603,,PT, PT,7.99,873,92.01,10054,10927
25852,Moreilândia,0.600,,PT, PT,8.01,533,91.99,6120,6653
12386,João Costa,0.561,Baixo,PT,Baixo PT,8.02,188,91.98,2156,2344
19488,Mato Grosso,0.565,Baixo,PT,Baixo PT,8.05,143,91.95,1633,1776
19445,São José de Princesa,0.565,Baixo,PT,Baixo PT,8.06,190,91.94,2166,2356
23353,Betânia,0.559,Baixo,PT,Baixo PT,8.09,508,91.91,5770,6278
2119,Barreirinha,0.574,Baixo,PT,Baixo PT,8.19,1036,91.81,11611,12647
37222,Matina,0.572,Baixo,PT,Baixo PT,8.21,529,91.79,5915,6444
23639,Caetés,0.522,Baixo,PT,Baixo PT,8.27,1112,91.73,12333,13445
17710,Paraná,0.589,,PT, PT,8.29,213,91.71,2356,2569
25070,Parnamirim,0.599,,PT, PT,8.29,1049,91.71,11606,12655
7013,Afonso Cunha,0.529,Baixo,PT,Baixo PT,8.46,374,91.54,4048,4422
10588,Várzea Branca,0.553,Baixo,PT,Baixo PT,8.47,266,91.53,2875,3141
13072,Aiuaba,0.569,Baixo,PT,Baixo PT,8.54,654,91.46,7000,7654
10340,Lagoa do Barro do Piauí,0.502,Baixo,PT,Baixo PT,8.55,273,91.45,2920,3193
10685,Dom Inocêncio,0.549,Baixo,PT,Baixo PT,8.55,439,91.45,4696,5135
12700,São Miguel do Fidalgo,0.535,Baixo,PT,Baixo PT,8.56,157,91.44,1678,1835
10642,Brejo do Piauí,0.515,Baixo,PT,Baixo PT,8.57,235,91.43,2508,2743
13250,Araripe,0.564,Baixo,PT,Baixo PT,8.61,1026,91.39,10887,11913
10880,Morro Cabeça No Tempo,0.542,Baixo,PT,Baixo PT,8.63,213,91.37,2256,2469
19453,Bom Jesus,0.597,,PT, PT,8.64,189,91.36,1999,2188
11339,Nazaré do Piauí,0.576,Baixo,PT,Baixo PT,8.74,387,91.26,4042,4429
39896,São Gabriel,0.592,,PT, PT,8.74,1031,91.26,10769,11800
34029,Caetanos,0.542,Baixo,PT,Baixo PT,8.75,573,91.25,5974,6547
37583,Nova Redenção,0.567,Baixo,PT,Baixo PT,8.78,369,91.22,3836,4205
15989,Deputado Irapuan Pinheiro,0.609,,PT, PT,8.81,448,91.19,4638,5086
39152,Souto Soares,0.592,,PT, PT,8.84,854,91.16,8807,9661
25798,Serrita,0.595,,PT, PT,8.85,948,91.15,9763,10711
20818,Manaíra,0.543,Baixo,PT,Baixo PT,8.95,539,91.05,5481,6020
23396,Bodocó,0.565,Baixo,PT,Baixo PT,8.98,1629,91.02,16517,18146
17450,Marcelino Vieira,0.609,,PT, PT,8.98,440,91.02,4459,4899
37311,Monte Santo,0.506,Baixo,PT,Baixo PT,8.99,2546,91.01,25788,28334
15431,Santana do Cariri,0.612,,PT, PT,8.99,899,91.01,9102,10001
23671,Calumbi,0.571,Baixo,PT,Baixo PT,9.03,424,90.97,4270,4694
7757,Duque Bacelar,0.533,Baixo,PT,Baixo PT,9.06,591,90.94,5931,6522
9172,São João Batista,0.598,,PT, PT,9.06,1036,90.94,10398,11434
7471,Cajari,0.523,Baixo,PT,Baixo PT,9.07,881,90.93,8836,9717
12637,Floresta do Piauí,0.538,Baixo,PT,Baixo PT,9.11,158,90.89,1576,1734
28436,Poço das Trincheiras,0.526,Baixo,PT,Baixo PT,9.12,625,90.88,6226,6851
10286,Jacobina do Piauí,0.535,Baixo,PT,Baixo PT,9.13,340,90.87,3386,3726
10421,Queimada Nova,0.515,Baixo,PT,Baixo PT,9.16,471,90.84,4673,5144
12025,São João da Varjota,0.559,Baixo,PT,Baixo PT,9.17,263,90.83,2605,2868
10723,Campo Grande do Piauí,0.560,Baixo,PT,Baixo PT,9.18,344,90.82,3402,3746
33596,Barra do Mendes,0.630,,PT, PT,9.20,779,90.80,7691,8470
34398,Cardeal da Silva,0.552,Baixo,PT,Baixo PT,9.22,448,90.78,4410,4858
12696,Cocal dos Alves,0.498,Baixo,PT,Baixo PT,9.23,364,90.77,3579,3943
16071,Água Nova,0.616,,PT, PT,9.25,190,90.75,1865,2055
12327,Acauã,0.528,Baixo,PT,Baixo PT,9.26,428,90.74,4196,4624
39276,Teodoro Sampaio,0.594,,PT, PT,9.26,409,90.74,4008,4417
21717,Santana de Mangueira,0.535,Baixo,PT,Baixo PT,9.29,290,90.71,2831,3121
8834,Presidente Vargas,0.587,,PT, PT,9.35,597,90.65,5785,6382
35270,Glória,0.593,,PT, PT,9.36,894,90.64,8662,9556
8346,São João do Soter,0.517,Baixo,PT,Baixo PT,9.37,822,90.63,7948,8770
19470,Bom Sucesso,0.592,,PT, PT,9.42,307,90.58,2953,3260
19836,Carrapateira,0.603,,PT, PT,9.44,136,90.56,1305,1441
33715,Biritinga,0.538,Baixo,PT,Baixo PT,9.45,877,90.55,8405,9282
11371,Novo Oriente do Piauí,0.562,Baixo,PT,Baixo PT,9.51,356,90.49,3389,3745
15253,Potengi,0.562,Baixo,PT,Baixo PT,9.52,500,90.48,4750,5250
37834,Pedrão,0.588,,PT, PT,9.54,378,90.46,3584,3962
8850,Primeira Cruz,0.512,Baixo,PT,Baixo PT,9.55,542,90.45,5131,5673
37427,Mulungu do Morro,0.566,Baixo,PT,Baixo PT,9.56,707,90.44,6686,7393
21016,Nazarezinho,0.562,Baixo,PT,Baixo PT,9.61,467,90.39,4395,4862
24473,Itacuruba,0.595,,PT, PT,9.61,291,90.39,2737,3028
37850,Pedro Alexandre,0.513,Baixo,PT,Baixo PT,9.70,623,90.30,5800,6423
13366,Tarrafas,0.576,Baixo,PT,Baixo PT,9.70,508,90.30,4730,5238
33782,Bom Jesus da Serra,0.546,Baixo,PT,Baixo PT,9.71,534,90.29,4964,5498
8516,Palmeirândia,0.556,Baixo,PT,Baixo PT,9.72,984,90.28,9139,10123
19585,Amparo,0.606,,PT, PT,9.80,177,90.20,1630,1807
13110,Altaneira,0.602,,PT, PT,9.81,435,90.19,3999,4434
21679,Santa Helena,0.609,,PT, PT,9.89,408,90.11,3716,4124
24058,Exu,0.576,Baixo,PT,Baixo PT,9.97,1954,90.03,17637,19591
23329,Santa Filomena,0.533,Baixo,PT,Baixo PT,9.98,773,90.02,6970,7743
24317,Ibimirim,0.552,Baixo,PT,Baixo PT,9.98,1367,90.02,12337,13704
28410,Piranhas,0.589,,PT, PT,10.00,1250,90.00,11252,12502
38318,Ribeira do Amparo,0.512,Baixo,PT,Baixo PT,10.01,785,89.99,7060,7845
25879,Solidão,0.585,,PT, PT,10.03,400,89.97,3588,3988
17990,Pilões,0.614,,PT, PT,10.04,236,89.96,2115,2351
19640,Poço Dantas,0.525,Baixo,PT,Baixo PT,10.05,260,89.95,2327,2587
7820,Lagoa do Mato,0.566,Baixo,PT,Baixo PT,10.07,576,89.93,5144,5720
8559,Parnarama,0.542,Baixo,PT,Baixo PT,10.10,1676,89.90,14918,16594
36838,Lamarão,0.518,Baixo,PT,Baixo PT,10.12,487,89.88,4325,4812
19011,Água Branca,0.572,Baixo,PT,Baixo PT,10.14,573,89.86,5080,5653
19364,Cacimbas,0.523,Baixo,PT,Baixo PT,10.19,416,89.81,3665,4081
10227,Colônia do Piauí,0.588,,PT, PT,10.19,453,89.81,3994,4447
17396,Luís Gomes,0.608,,PT, PT,10.24,539,89.76,4725,5264
13471,Boa Viagem,0.598,,PT, PT,10.25,2900,89.75,25403,28303
14680,Miraíma,0.592,,PT, PT,10.27,820,89.73,7162,7982
36315,Itapicuru,0.486,Baixo,PT,Baixo PT,10.29,1549,89.71,13503,15052
38130,Presidente Dutra,0.614,,PT, PT,10.31,874,89.69,7605,8479
9156,São Francisco do Maranhão,0.528,Baixo,PT,Baixo PT,10.33,662,89.67,5748,6410
15113,Pedra Branca,0.603,,PT, PT,10.42,2474,89.58,21268,23742
8362,São José dos Basílios,0.557,Baixo,PT,Baixo PT,10.50,439,89.50,3743,4182
8540,Sucupira do Riachão,0.568,Baixo,PT,Baixo PT,10.51,298,89.49,2538,2836
10952,Ipiranga do Piauí,0.630,,PT, PT,10.51,568,89.49,4837,5405
23108,Santa Cruz,0.549,Baixo,PT,Baixo PT,10.52,819,89.48,6969,7788
34355,Cansanção,0.557,Baixo,PT,Baixo PT,10.53,1971,89.47,16747,18718
10103,Buriti dos Montes,0.574,Baixo,PT,Baixo PT,10.54,472,89.46,4006,4478
34177,Campo Alegre de Lourdes,0.557,Baixo,PT,Baixo PT,10.56,1542,89.44,13064,14606
8060,Pedro do Rosário,0.516,Baixo,PT,Baixo PT,10.57,1146,89.43,9700,10846
8141,Presidente Sarney,0.557,Baixo,PT,Baixo PT,10.59,1002,89.41,8456,9458
15237,Porteiras,0.622,,PT, PT,10.60,1047,89.40,8829,9876
33332,Antônio Cardoso,0.561,Baixo,PT,Baixo PT,10.61,931,89.39,7844,8775
27316,Canapi,0.506,Baixo,PT,Baixo PT,10.62,905,89.38,7618,8523
8630,Penalva,0.554,Baixo,PT,Baixo PT,10.62,1628,89.38,13696,15324
12343,Cajazeiras do Piauí,0.562,Baixo,PT,Baixo PT,10.63,241,89.37,2026,2267
13064,Graça,0.570,Baixo,PT,Baixo PT,10.64,905,89.36,7600,8505
36765,Lagoa Real,0.545,Baixo,PT,Baixo PT,10.65,792,89.35,6647,7439
12335,Belém do Piauí,0.551,Baixo,PT,Baixo PT,10.66,235,89.34,1970,2205
24112,Flores,0.556,Baixo,PT,Baixo PT,10.68,1266,89.32,10591,11857
10120,Cabeceiras do Piauí,0.583,Baixo,PT,Baixo PT,10.71,688,89.29,5733,6421
35017,Dom Basílio,0.591,,PT, PT,10.71,805,89.29,6708,7513
15970,Milhã,0.626,,PT, PT,10.73,829,89.27,6894,7723
13358,Baixio,0.627,,PT, PT,10.73,419,89.27,3487,3906
23779,Carnaíba,0.583,Baixo,PT,Baixo PT,10.78,1163,89.22,9624,10787
13269,Potiretama,0.604,,PT, PT,10.79,433,89.21,3579,4012
25950,Tacaratu,0.573,Baixo,PT,Baixo PT,10.80,1274,89.20,10527,11801
24015,Custódia,0.594,,PT, PT,10.80,2079,89.20,17174,19253
2976,Boa Vista do Ramos,0.565,Baixo,PT,Baixo PT,10.81,808,89.19,6666,7474
10197,Arraial,0.560,Baixo,PT,Baixo PT,10.84,308,89.16,2533,2841
11630,Pio Ix,0.564,Baixo,PT,Baixo PT,10.84,1132,89.16,9309,10441
36080,Itaguaçu da Bahia,0.562,Baixo,PT,Baixo PT,10.85,736,89.15,6050,6786
23850,Cedro,0.615,,PT, PT,10.85,707,89.15,5812,6519
12300,Riacho Frio,0.541,Baixo,PT,Baixo PT,10.86,315,89.14,2586,2901
26212,Verdejante,0.605,,PT, PT,10.87,616,89.13,5051,5667
17175,José da Penha,0.608,,PT, PT,10.88,407,89.12,3335,3742
7293,Barão de Grajaú,0.592,,PT, PT,10.89,1110,89.11,9080,10190
22373,Triunfo,0.609,,PT, PT,10.89,551,89.11,4507,5058
10863,Lagoa de São Francisco,0.529,Baixo,PT,Baixo PT,10.91,414,89.09,3379,3793
26174,Tuparetama,0.634,,PT, PT,10.91,637,89.09,5203,5840
20699,Lastro,0.533,Baixo,PT,Baixo PT,10.92,298,89.08,2430,2728
23930,Correntes,0.536,Baixo,PT,Baixo PT,10.92,951,89.08,7755,8706
30970,Heliópolis,0.563,Baixo,PT,Baixo PT,10.94,913,89.06,7429,8342
23558,Buíque,0.527,Baixo,PT,Baixo PT,10.95,2775,89.05,22579,25354
22330,Tavares,0.586,,PT, PT,10.95,877,89.05,7133,8010
13153,Antonina do Norte,0.599,,PT, PT,10.97,481,89.03,3905,4386
18139,Riacho de Santana,0.591,,PT, PT,10.98,279,89.02,2262,2541
14672,Milagres,0.628,,PT, PT,10.98,1782,89.02,14447,16229
37591,Nova Soure,0.555,Baixo,PT,Baixo PT,10.99,1515,89.01,12266,13781
12149,Boqueirão do Piauí,0.560,Baixo,PT,Baixo PT,10.99,413,89.01,3346,3759
24295,Iati,0.528,Baixo,PT,Baixo PT,11.00,1094,89.00,8854,9948
7943,Matões do Norte,0.533,Baixo,PT,Baixo PT,11.00,491,89.00,3974,4465
9059,São Benedito do Rio Preto,0.541,Baixo,PT,Baixo PT,11.00,1116,89.00,9034,10150
7145,Bacurituba,0.537,Baixo,PT,Baixo PT,11.02,338,88.98,2728,3066
10944,Paquetá,0.509,Baixo,PT,Baixo PT,11.03,318,88.97,2565,2883
7226,Cachoeira Grande,0.537,Baixo,PT,Baixo PT,11.03,531,88.97,4284,4815
8052,São Luís Gonzaga do Maranhão,0.540,Baixo,PT,Baixo PT,11.04,1359,88.96,10954,12313
11711,Prata do Piauí,0.565,Baixo,PT,Baixo PT,11.05,244,88.95,1964,2208
7960,Milagres do Maranhão,0.527,Baixo,PT,Baixo PT,11.12,418,88.88,3340,3758
27049,Estrela de Alagoas,0.534,Baixo,PT,Baixo PT,11.15,851,88.85,6783,7634
23752,Capoeiras,0.549,Baixo,PT,Baixo PT,11.17,1157,88.83,9205,10362
25011,Palmeirina,0.549,Baixo,PT,Baixo PT,11.17,474,88.83,3768,4242
24970,Ouricuri,0.572,Baixo,PT,Baixo PT,11.23,3685,88.77,29138,32823
25453,Saloá,0.559,Baixo,PT,Baixo PT,11.26,953,88.74,7509,8462
8249,Santo Amaro do Maranhão,0.518,Baixo,PT,Baixo PT,11.28,684,88.72,5381,6065
39292,Teofilândia,0.566,Baixo,PT,Baixo PT,11.28,1296,88.72,10197,11493
12203,Júlio Borges,0.582,Baixo,PT,Baixo PT,11.28,360,88.72,2832,3192
35696,Igaporã,0.614,,PT, PT,11.28,997,88.72,7844,8841
13978,Granjeiro,0.585,,PT, PT,11.30,430,88.70,3375,3805
7170,Araioses,0.521,Baixo,PT,Baixo PT,11.31,2476,88.69,19425,21901
12378,Francisco Macedo,0.553,Baixo,PT,Baixo PT,11.31,223,88.69,1748,1971
7250,Bacuri,0.578,Baixo,PT,Baixo PT,11.31,930,88.69,7290,8220
8656,Peri Mirim,0.599,,PT, PT,11.32,744,88.68,5827,6571
9458,Urbano Santos,0.588,,PT, PT,11.33,1835,88.67,14355,16190
12629,São Luis do Piauí,0.554,Baixo,PT,Baixo PT,11.34,205,88.66,1603,1808
30899,Fátima,0.559,Baixo,PT,Baixo PT,11.34,1204,88.66,9416,10620
24490,Itaíba,0.510,Baixo,PT,Baixo PT,11.38,1436,88.62,11188,12624
7412,Buriti,0.548,Baixo,PT,Baixo PT,11.39,1608,88.61,12504,14112
10928,Nossa Senhora de Nazaré,0.586,,PT, PT,11.42,437,88.58,3388,3825
27650,Inhapi,0.484,Baixo,PT,Baixo PT,11.45,918,88.55,7102,8020
13951,Granja,0.559,Baixo,PT,Baixo PT,11.49,3557,88.51,27406,30963
7951,Guimarães,0.625,,PT, PT,11.49,686,88.51,5285,5971
37710,Palmeiras,0.643,,PT, PT,11.49,562,88.51,4331,4893
15199,Piquet Carneiro,0.600,,PT, PT,11.50,927,88.50,7134,8061
10790,Francinópolis,0.564,Baixo,PT,Baixo PT,11.52,333,88.48,2558,2891
12106,Assunção do Piauí,0.499,Baixo,PT,Baixo PT,11.53,528,88.47,4053,4581
19674,Cachoeira dos Índios,0.587,,PT, PT,11.56,655,88.44,5011,5666
10170,Aroazes,0.583,Baixo,PT,Baixo PT,11.58,436,88.42,3330,3766
37630,Olindina,0.559,Baixo,PT,Baixo PT,11.59,1485,88.41,11325,12810
8044,Paulino Neves,0.561,Baixo,PT,Baixo PT,11.60,1025,88.40,7811,8836
38539,Santa Brígida,0.546,Baixo,PT,Baixo PT,11.61,934,88.39,7110,8044
25690,São José do Belmonte,0.610,,PT, PT,11.62,2106,88.38,16021,18127
11754,Regeneração,0.591,,PT, PT,11.63,1126,88.37,8554,9680
12165,Caridade do Piauí,0.541,Baixo,PT,Baixo PT,11.65,384,88.35,2911,3295
10499,Caracol,0.552,Baixo,PT,Baixo PT,11.66,685,88.34,5192,5877
24252,Granito,0.595,,PT, PT,11.66,528,88.34,4001,4529
8176,Lago Verde,0.557,Baixo,PT,Baixo PT,11.68,957,88.32,7240,8197
34096,Caldeirão Grande,0.573,Baixo,PT,Baixo PT,11.68,774,88.32,5852,6626
10553,Conceição do Canindé,0.589,,PT, PT,11.70,368,88.30,2776,3144
10324,Lagoa Alegre,0.550,Baixo,PT,Baixo PT,11.74,668,88.26,5020,5688
9270,São Vicente Ferrer,0.592,,PT, PT,11.74,1111,88.26,8352,9463
12220,Lagoa do Sítio,0.541,Baixo,PT,Baixo PT,11.77,345,88.23,2586,2931
35475,Ibipeba,0.616,,PT, PT,11.77,1122,88.23,8410,9532
11088,São João da Canabrava,0.559,Baixo,PT,Baixo PT,11.78,383,88.22,2868,3251
13390,Barro,0.599,,PT, PT,11.78,1391,88.22,10421,11812
16632,Doutor Severiano,0.621,,PT, PT,11.81,491,88.19,3665,4156
7102,Araguanã,0.533,Baixo,PT,Baixo PT,11.85,580,88.15,4315,4895
11517,Parnaguá,0.575,Baixo,PT,Baixo PT,11.85,610,88.15,4537,5147
10901,Novo Santo Antônio,0.528,Baixo,PT,Baixo PT,11.86,338,88.14,2511,2849
39390,Uauá,0.605,,PT, PT,11.86,1711,88.14,12716,14427
33731,Boa Nova,0.567,Baixo,PT,Baixo PT,11.87,889,88.13,6603,7492
23310,Belém de São Francisco,0.642,,PT, PT,11.88,1341,88.12,9946,11287
14451,Jati,0.651,,PT, PT,11.88,583,88.12,4325,4908
14893,Novo Oriente,0.605,,PT, PT,11.93,1813,88.07,13380,15193
10138,Anísio de Abreu,0.594,,PT, PT,11.96,605,88.04,4455,5060
23116,Alagoinha,0.599,,PT, PT,12.00,1057,88.00,7753,8810
12530,Tamboril do Piauí,0.501,Baixo,PT,Baixo PT,12.01,226,87.99,1655,1881
20354,Imaculada,0.557,Baixo,PT,Baixo PT,12.01,743,87.99,5443,6186
24139,Floresta,0.626,,PT, PT,12.01,2005,87.99,14692,16697
8990,Santa Quitéria do Maranhão,0.555,Baixo,PT,Baixo PT,12.03,1668,87.97,12201,13869
16659,Encanto,0.629,,PT, PT,12.03,410,87.97,2999,3409
14591,Martinópole,0.599,,PT, PT,12.05,846,87.95,6177,7023
11797,Rio Grande do Piauí,0.572,Baixo,PT,Baixo PT,12.06,449,87.94,3275,3724
24716,Lagoa do Ouro,0.525,Baixo,PT,Baixo PT,12.07,928,87.93,6763,7691
14150,Ipaumirim,0.606,,PT, PT,12.07,819,87.93,5964,6783
19968,Marcação,0.529,Baixo,PT,Baixo PT,12.08,589,87.92,4286,4875
34835,Coronel João Sá,0.535,Baixo,PT,Baixo PT,12.10,1130,87.90,8211,9341
37893,Pilão Arcado,0.506,Baixo,PT,Baixo PT,12.19,2188,87.81,15767,17955
10847,Jurema,0.555,Baixo,PT,Baixo PT,12.19,421,87.81,3034,3455
30716,América Dourada,0.561,Baixo,PT,Baixo PT,12.19,1037,87.81,7472,8509
13315,Assaré,0.600,,PT, PT,12.21,1584,87.79,11387,12971
28177,Olho D’água Grande,0.503,Baixo,PT,Baixo PT,12.22,374,87.78,2687,3061
20931,Monte Horebe,0.587,,PT, PT,12.22,338,87.78,2429,2767
12408,Joca Marques,0.504,Baixo,PT,Baixo PT,12.24,399,87.76,2861,3260
14990,Pacujá,0.621,,PT, PT,12.25,499,87.75,3573,4072
7994,Icatu,0.546,Baixo,PT,Baixo PT,12.26,1551,87.74,11097,12648
13463,Choró,0.585,,PT, PT,12.26,938,87.74,6714,7652
11410,Domingos Mourão,0.550,Baixo,PT,Baixo PT,12.29,316,87.71,2255,2571
20630,Lagoa,0.563,Baixo,PT,Baixo PT,12.29,394,87.71,2812,3206
13021,Madalena,0.610,,PT, PT,12.33,1200,87.67,8536,9736
2755,São Paulo de Olivença,0.521,Baixo,PT,Baixo PT,12.34,1535,87.66,10907,12442
20613,Juru,0.570,Baixo,PT,Baixo PT,12.35,679,87.65,4817,5496
27359,Carneiros,0.526,Baixo,PT,Baixo PT,12.38,547,87.62,3873,4420
33430,Aramari,0.588,,PT, PT,12.38,797,87.62,5643,6440
38296,Riacho de Santana,0.615,,PT, PT,12.39,2105,87.61,14886,16991
38970,Seabra,0.635,,PT, PT,12.39,3077,87.61,21761,24838
8818,Presidente Juscelino,0.563,Baixo,PT,Baixo PT,12.43,752,87.57,5297,6049
13447,Catunda,0.609,,PT, PT,12.43,744,87.57,5242,5986
7439,Buriti Bravo,0.590,,PT, PT,12.46,1470,87.54,10332,11802
24414,Ingazeira,0.608,,PT, PT,12.51,377,87.49,2637,3014
26158,Tupanatinga,0.519,Baixo,PT,Baixo PT,12.52,1344,87.48,9393,10737
33251,Andaraí,0.555,Baixo,PT,Baixo PT,12.52,867,87.48,6057,6924
7684,Igarapé do Meio,0.569,Baixo,PT,Baixo PT,12.53,957,87.47,6680,7637
34010,Caem,0.546,Baixo,PT,Baixo PT,12.56,695,87.44,4839,5534
21059,Nova Olinda,0.573,Baixo,PT,Baixo PT,12.56,437,87.44,3041,3478
23655,Calçado,0.566,Baixo,PT,Baixo PT,12.58,637,87.42,4428,5065
14354,Jaguaretama,0.612,,PT, PT,12.58,1294,87.42,8993,10287
19925,Algodão de Jandaíra,0.548,Baixo,PT,Baixo PT,12.59,280,87.41,1944,2224
19909,Areia de Baraúnas,0.562,Baixo,PT,Baixo PT,12.60,182,87.40,1262,1444
33413,Araci,0.534,Baixo,PT,Baixo PT,12.70,3290,87.30,22617,25907
30953,Guajeru,0.569,Baixo,PT,Baixo PT,12.70,560,87.30,3851,4411
38598,Santa Inês,0.574,Baixo,PT,Baixo PT,12.70,681,87.30,4681,5362
10600,Barra D’alcântara,0.577,Baixo,PT,Baixo PT,12.70,297,87.30,2042,2339
12440,Madeiro,0.563,Baixo,PT,Baixo PT,12.71,564,87.29,3872,4436
27677,Jacaré dos Homens,0.583,Baixo,PT,Baixo PT,12.71,434,87.29,2981,3415
13013,Abaiara,0.628,,PT, PT,12.74,681,87.26,4665,5346
11690,Porto,0.549,Baixo,PT,Baixo PT,12.76,752,87.24,5140,5892
19500,Bernardino Batista,0.558,Baixo,PT,Baixo PT,12.77,263,87.23,1797,2060
10693,Elesbão Veloso,0.580,Baixo,PT,Baixo PT,12.77,1120,87.23,7653,8773
28916,Senador Rui Palmeira,0.518,Baixo,PT,Baixo PT,12.80,776,87.20,5287,6063
13404,Barroquinha,0.571,Baixo,PT,Baixo PT,12.80,1216,87.20,8284,9500
12580,Curralinhos,0.555,Baixo,PT,Baixo PT,12.81,408,87.19,2777,3185
27570,Girau do Ponciano,0.536,Baixo,PT,Baixo PT,12.82,2338,87.18,15898,18236
38830,São Francisco do Conde,0.674,,PT, PT,12.82,3204,87.18,21780,24984
8311,Matões,0.550,Baixo,PT,Baixo PT,12.84,2144,87.16,14552,16696
12084,Alvorada do Gurguéia,0.578,Baixo,PT,Baixo PT,12.84,379,87.16,2572,2951
23124,Jucati,0.550,Baixo,PT,Baixo PT,12.86,886,87.14,6003,6889
12017,São José do Peixe,0.573,Baixo,PT,Baixo PT,12.87,280,87.13,1895,2175
12076,São Miguel do Tapuio,0.556,Baixo,PT,Baixo PT,12.88,1340,87.12,9062,10402
37990,Planaltino,0.572,Baixo,PT,Baixo PT,12.88,593,87.12,4010,4603
21873,São José de Caiana,0.565,Baixo,PT,Baixo PT,12.92,425,87.08,2865,3290
11037,Jaicós,0.524,Baixo,PT,Baixo PT,12.93,1221,87.07,8220,9441
28673,São José da Tapera,0.527,Baixo,PT,Baixo PT,12.94,1826,87.06,12282,14108
25054,Paranatama,0.537,Baixo,PT,Baixo PT,12.94,969,87.06,6520,7489
37699,Palmas de Monte Alto,0.586,,PT, PT,12.95,1604,87.05,10786,12390
11436,Padre Marcos,0.541,Baixo,PT,Baixo PT,12.97,561,87.03,3766,4327
31496,Gararu,0.564,Baixo,PT,Baixo PT,12.97,839,87.03,5632,6471
13870,Farias Brito,0.633,,PT, PT,12.97,1552,87.03,10416,11968
10766,Currais,0.542,Baixo,PT,Baixo PT,12.98,490,87.02,3284,3774
10480,Santana do Piauí,0.574,Baixo,PT,Baixo PT,12.99,391,87.01,2618,3009
34533,Chorrochó,0.600,,PT, PT,13.00,798,87.00,5341,6139
