Código TSE,Nome,IDH,IDH (categoria),Vencedor,Categoria,PSL (% de votos válidos),PSL (votos),PT (% de votos válidos),PT (votos),Total de votos válidos
22357,Teixeira,0.605,,PT, PT,19.60,1602,80.40,6572,8174
42269,Japonvar,0.608,,PT, PT,19.60,916,80.40,3757,4673
13234,Aracoiaba,0.615,,PT, PT,19.61,3529,80.39,14469,17998
19313,Bananeiras,0.568,Baixo,PT,Baixo PT,19.62,2492,80.38,10207,12699
32239,Salgado,0.609,,PT, PT,19.63,2222,80.37,9100,11322
23531,Buenos Aires,0.593,,PT, PT,19.64,1593,80.36,6516,8109
33219,Amélia Rodrigues,0.666,,PT, PT,19.64,2568,80.36,10510,13078
35750,Inhambupe,0.565,Baixo,PT,Baixo PT,19.65,3496,80.35,14299,17795
33570,Barra do Choça,0.551,Baixo,PT,Baixo PT,19.67,3762,80.33,15363,19125
31070,Arauá,0.595,,PT, PT,19.71,1256,80.29,5115,6371
15032,Palmácia,0.622,,PT, PT,19.72,1258,80.28,5120,6378
10359,Bocaina,0.632,,PT, PT,19.72,772,80.28,3143,3915
16454,Caraúbas,0.638,,PT, PT,19.72,2664,80.28,10842,13506
31437,Feira Nova,0.584,,PT, PT,19.73,792,80.27,3222,4014
42188,Guaraciama,0.677,,PT, PT,19.73,651,80.27,2648,3299
28274,Pão de Açúcar,0.593,,PT, PT,19.74,2301,80.26,9356,11657
8672,Pindaré-mirim,0.633,,PT, PT,19.74,3370,80.26,13705,17075
52477,São João da Ponte,0.569,Baixo,PT,Baixo PT,19.76,2451,80.24,9954,12405
2216,Carauari,0.549,Baixo,PT,Baixo PT,19.77,2370,80.23,9617,11987
33472,Aurelino Leal,0.568,Baixo,PT,Baixo PT,19.77,1270,80.23,5154,6424
12319,Alagoinha do Piauí,0.531,Baixo,PT,Baixo PT,19.83,924,80.17,3735,4659
20192,Emas,0.595,,PT, PT,19.83,415,80.17,1678,2093
32395,São Miguel do Aleixo,0.567,Baixo,PT,Baixo PT,19.84,520,80.16,2101,2621
24813,Machados,0.578,Baixo,PT,Baixo PT,19.87,1461,80.13,5892,7353
33057,Acajutiba,0.582,Baixo,PT,Baixo PT,19.89,1476,80.11,5944,7420
12610,São Gonçalo do Gurguéia,0.560,Baixo,PT,Baixo PT,19.90,304,80.10,1224,1528
33170,Almadina,0.563,Baixo,PT,Baixo PT,19.90,628,80.10,2527,3155
95699,Lizarda,0.570,Baixo,PT,Baixo PT,19.90,329,80.10,1324,1653
19720,Parari,0.584,,PT, PT,19.91,302,80.09,1215,1517
2917,Amaturá,0.560,Baixo,PT,Baixo PT,19.92,846,80.08,3400,4246
17230,Lagoa D’anta,0.601,,PT, PT,19.92,741,80.08,2979,3720
33774,Bom Jesus da Lapa,0.633,,PT, PT,19.92,6165,80.08,24779,30944
15156,Pentecoste,0.629,,PT, PT,20.03,4817,79.97,19234,24051
22314,Taperoá,0.578,Baixo,PT,Baixo PT,20.04,1525,79.96,6084,7609
17892,Pedra Grande,0.559,Baixo,PT,Baixo PT,20.06,516,79.94,2056,2572
37575,Nova Itarana,0.524,Baixo,PT,Baixo PT,20.09,765,79.91,3042,3807
23477,Brejão,0.547,Baixo,PT,Baixo PT,20.10,1401,79.90,5569,6970
34312,Candiba,0.591,,PT, PT,20.10,1632,79.90,6489,8121
15830,Viçosa do Ceará,0.571,Baixo,PT,Baixo PT,20.11,6440,79.89,25585,32025
17973,Pendências,0.631,,PT, PT,20.11,1548,79.89,6150,7698
19267,Santo André,0.600,,PT, PT,20.13,379,79.87,1504,1883
38946,Saubara,0.617,,PT, PT,20.13,1563,79.87,6200,7763
48356,Minas Novas,0.633,,PT, PT,20.14,2206,79.86,8750,10956
37451,Muniz Ferreira,0.617,,PT, PT,20.15,1104,79.85,4375,5479
33316,Antas,0.592,,PT, PT,20.18,1445,79.82,5717,7162
16950,Itaú,0.614,,PT, PT,20.19,691,79.81,2731,3422
39713,Xique-xique,0.585,,PT, PT,20.20,4804,79.80,18982,23786
19127,Riachão do Bacamarte,0.553,Baixo,PT,Baixo PT,20.21,616,79.79,2432,3048
24678,Jurema,0.509,Baixo,PT,Baixo PT,20.22,1609,79.78,6347,7956
41521,Santo Antônio do Retiro,0.570,Baixo,PT,Baixo PT,20.23,699,79.77,2756,3455
39233,Taperoá,0.566,Baixo,PT,Baixo PT,20.25,1787,79.75,7037,8824
36498,Jacaraci,0.593,,PT, PT,20.26,1581,79.74,6223,7804
37532,Nilo Peçanha,0.547,Baixo,PT,Baixo PT,20.28,1212,79.72,4765,5977
10367,Marcolândia,0.562,Baixo,PT,Baixo PT,20.28,1100,79.72,4325,5425
31038,Aquidabã,0.578,Baixo,PT,Baixo PT,20.28,2193,79.72,8619,10812
42080,Fruta de Leite,0.544,Baixo,PT,Baixo PT,20.29,503,79.71,1976,2479
41033,Bandeira,0.599,,PT, PT,20.29,506,79.71,1988,2494
18937,Rafael Godeiro,0.654,,PT, PT,20.29,521,79.71,2047,2568
12211,União,0.577,Baixo,PT,Baixo PT,20.33,5457,79.67,21387,26844
34630,Conceição da Feira,0.634,,PT, PT,20.34,2533,79.66,9922,12455
13838,Crateús,0.644,,PT, PT,20.34,8323,79.66,32592,40915
16837,Governador Dix-sept Rosado,0.592,,PT, PT,20.37,1706,79.63,6671,8377
38172,Queimadas,0.592,,PT, PT,20.38,2670,79.62,10431,13101
41300,Patis,0.614,,PT, PT,20.38,608,79.62,2376,2984
32077,Poço Redondo,0.529,Baixo,PT,Baixo PT,20.41,2853,79.59,11124,13977
28754,São Sebastião,0.549,Baixo,PT,Baixo PT,20.42,3483,79.58,13577,17060
16497,Carnaubais,0.589,,PT, PT,20.42,1298,79.58,5059,6357
41807,Campo Azul,0.621,,PT, PT,20.44,453,79.56,1763,2216
7498,Cândido Mendes,0.561,Baixo,PT,Baixo PT,20.48,1942,79.52,7542,9484
9512,Vitória do Mearim,0.596,,PT, PT,20.48,3367,79.52,13071,16438
37036,Mairi,0.572,Baixo,PT,Baixo PT,20.49,1864,79.51,7235,9099
34754,Contendas do Sincorá,0.577,Baixo,PT,Baixo PT,20.49,541,79.51,2099,2640
8150,Lago do Junco,0.581,Baixo,PT,Baixo PT,20.49,1262,79.51,4898,6160
38873,São Miguel das Matas,0.593,,PT, PT,20.49,1324,79.51,5137,6461
27634,Igreja Nova,0.568,Baixo,PT,Baixo PT,20.50,2427,79.50,9410,11837
38911,Sapeaçu,0.614,,PT, PT,20.50,2263,79.50,8774,11037
12254,Valença do Piauí,0.647,,PT, PT,20.50,2399,79.50,9302,11701
50652,Presidente Kubitschek,0.595,,PT, PT,20.51,351,79.49,1360,1711
37117,Maracás,0.607,,PT, PT,20.51,2804,79.49,10867,13671
35491,Santa Rita de Cássia,0.605,,PT, PT,20.54,2968,79.46,11482,14450
37516,Nazaré,0.641,,PT, PT,20.57,3186,79.43,12299,15485
19143,Matinhas,0.541,Baixo,PT,Baixo PT,20.60,624,79.40,2405,3029
2399,Ipixuna,0.481,Baixo,PT,Baixo PT,20.61,1312,79.39,5055,6367
13030,Acaraú,0.601,,PT, PT,20.64,6154,79.36,23661,29815
13242,Guaiúba,0.617,,PT, PT,20.65,3022,79.35,11614,14636
32417,Simão Dias,0.604,,PT, PT,20.66,4971,79.34,19094,24065
34037,Caetité,0.625,,PT, PT,20.66,6006,79.34,23063,29069
2895,Alvarães,0.527,Baixo,PT,Baixo PT,20.67,1380,79.33,5295,6675
33235,Anagé,0.540,Baixo,PT,Baixo PT,20.67,2543,79.33,9762,12305
15539,São Luís do Curu,0.620,,PT, PT,20.68,1680,79.32,6442,8122
27693,Jacuípe,0.548,Baixo,PT,Baixo PT,20.72,715,79.28,2736,3451
4979,Muaná,0.547,Baixo,PT,Baixo PT,20.73,3433,79.27,13130,16563
34495,Catu,0.677,,PT, PT,20.73,5989,79.27,22901,28890
25410,Salgadinho,0.534,Baixo,PT,Baixo PT,20.75,909,79.25,3471,4380
23051,Agrestina,0.592,,PT, PT,20.76,2932,79.24,11191,14123
10235,Barras,0.595,,PT, PT,20.77,5265,79.23,20081,25346
17434,Macau,0.665,,PT, PT,20.77,3254,79.23,12415,15669
35319,Governador Mangabeira,0.643,,PT, PT,20.80,2490,79.20,9480,11970
19534,Igaracy,0.610,,PT, PT,20.82,780,79.18,2967,3747
37818,Paulo Afonso,0.674,,PT, PT,20.82,12010,79.18,45685,57695
